id;category;lv;sr;ru;en
470;putovanja;2;Kupujem ulaznicu za tvrđavu i muzej.;Я покупаю входной билет в крепость и музей.;I'm buying an entrance ticket for the fortress and museum.
471;putovanja;3;Posetili smo nacionalni park Tara prošle nedelje.;На прошлой неделе мы посетили национальный парк Тара.;We visited Tara National Park last week.
472;putovanja;3;Ova planinarska staza je duga, ali lepa.;Эта горная тропа длинная, но красивая.;This hiking trail is long but beautiful.
473;putovanja;3;Idemo u banju na vikend da se odmorimo.;Мы едем на курорт на выходные, чтобы отдохнуть.;We're going to a spa town for the weekend to relax.
474;putovanja;3;Ovo mesto je deo kulturnog nasleđa Srbije.;Это место — часть культурного наследия Сербии.;This place is part of Serbia's cultural heritage.
475;putovanja;3;Popunite carinsku deklaraciju pre poletanja aviona.;Заполните таможенную декларацию перед вылетом самолёта.;Fill out the customs declaration before the flight departs.
476;putovanja;3;Naručila sam transfer do hotela sa aerodroma.;Я заказала трансфер до отеля из аэропорта.;I ordered a transfer to the hotel from the airport.
477;putovanja;3;Putno osiguranje pokriva medicinske troškove u inostranstvu.;Дорожная страховка покрывает медицинские расходы за границей.;Travel insurance covers medical expenses abroad.
478;putovanja;3;Koristim lokalni transport da uštedim novac na putovanju.;Я пользуюсь местным транспортом, чтобы сэкономить деньги в поездке.;I use local transport to save money on the trip.
479;putovanja;3;Volim individualno putovanje bez vodiča i grupe.;Мне нравится индивидуальная поездка без гида и группы.;I like independent travel without a guide and a group.
480;putovanja;3;Proverite rok trajanja pasoša pre puta u Srbiju.;Проверьте срок действия паспорта перед поездкой в Сербию.;Check your passport validity before the trip to Serbia.
481;tehnika;1;Idem u prodavnicu tehnike po televizor.;Я иду в магазин техники за телевизором.;I'm going to the electronics store for a TV.
482;tehnika;1;Ovaj televizor ima veliki i lep ekran.;У этого телевизора большой и красивый экран.;This television has a big, nice screen.
483;tehnika;1;Treba mi nov kompjuter za posao od kuće.;Мне нужен новый компьютер для работы из дома.;I need a new computer for work from home.
484;tehnika;1;Laptop je lak, brz i nije skup.;Ноутбук лёгкий, быстрый и недорогой.;The laptop is light, fast, and not expensive.
485;tehnika;1;Kupujem novi telefon jer je stari star.;Я покупаю новый телефон, потому что старый уже старый.;I'm buying a new phone because the old one is old.
486;tehnika;1;Tražim bežične slušalice za trčanje.;Я ищу беспроводные наушники для бега.;I'm looking for wireless headphones for running.
487;tehnika;1;Treba mi punjač za telefon, molim vas.;Мне нужна зарядка для телефона, пожалуйста.;I need a charger for my phone, please.
488;tehnika;1;Baterija na telefonu se brzo prazni.;Батарея на телефоне быстро разряжается.;The battery on the phone drains quickly.
489;tehnika;1;Poredim dva modela telefona pre kupovine.;Я сравниваю две модели телефонов перед покупкой.;I'm comparing two phone models before buying.
490;tehnika;1;Kolika je cena ovog uređaja, molim vas?;Какая цена этого устройства, пожалуйста?;What is the price of this device, please?
491;tehnika;2;Kupujem tablet za dete za rođendan.;Я покупаю планшет для ребёнка на день рождения.;I'm buying a tablet for my child's birthday.
492;tehnika;2;Nosim pametni sat svaki dan na poslu.;Я ношу умные часы каждый день на работе.;I wear my smartwatch every day at work.
493;tehnika;2;Treba mi veći monitor i bolja tastatura.;Мне нужен монитор побольше и клавиатура получше.;I need a bigger monitor and a better keyboard.
494;tehnika;2;Ova kamera pravi odlične fotografije za putovanje.;Эта камера делает отличные фотографии для путешествия.;This camera takes great photos for travel.
495;tehnika;2;Prebacujem fajlove na USB memoriju pre posla.;Я переношу файлы на USB-флешку перед работой.;I'm transferring files to a USB flash drive before work.
496;tehnika;2;Ruter ne emituje signal dobro u ovoj sobi.;Роутер плохо транслирует сигнал в этой комнате.;The router isn't broadcasting the signal well in this room.
497;tehnika;2;Instaliram novu aplikaciju na telefon danas.;Я устанавливаю новое приложение на телефон сегодня.;I'm installing a new app on my phone today.
498;tehnika;2;Uređaj ima kvar posle samo mesec dana.;Устройство сломалось всего через месяц.;The device broke down after just a month.
499;tehnika;2;Odneću telefon u servis zbog popravke.;Я отнесу телефон в сервисный центр для ремонта.;I'll take the phone to the service center for repair.
500;tehnika;2;Pogledajte specifikacije i kompatibilnost pre kupovine.;Посмотрите характеристики и совместимость перед покупкой.;Check the specifications and compatibility before buying.
501;tehnika;3;Da li imate noviji model ovog telefona?;Есть ли у вас модель новее этого телефона?;Do you have a newer model of this phone?
502;tehnika;3;Povežite slušalice preko blututa, veoma je lako.;Подключите наушники через блютуз, это очень легко.;Connect the headphones via Bluetooth, it's very easy.
503;tehnika;3;Koji je kapacitet memorije ovog telefona?;Какой объём памяти у этого телефона?;What is the storage capacity of this phone?
504;tehnika;3;Ovaj laptop ima brz procesor i dobru bateriju.;У этого ноутбука быстрый процессор и хорошая батарея.;This laptop has a fast processor and good battery life.
505;tehnika;3;Kupujem futrolu i zaštitno staklo za telefon.;Я покупаю чехол и защитное стекло для телефона.;I'm buying a case and screen protector for the phone.
506;tehnika;3;Nosim prenosivi punjač na putovanje uvek.;Я всегда беру портативную зарядку в поездку.;I always bring a power bank on trips.
507;tehnika;3;Kupujem smart televizor sa internetom sledeće nedelje.;Я покупаю смарт-телевизор с интернетом на следующей неделе.;I'm buying a smart TV with internet next week.
508;tehnika;3;Uradiću fabričko resetovanje telefona zbog kvara.;Я сделаю сброс телефона до заводских настроек из-за поломки.;I'll do a factory reset on the phone due to a malfunction.
509;tehnika;3;Tražim refundaciju za ovaj neispravan proizvod.;Я прошу возврат денег за этот неисправный товар.;I'm requesting a refund for this faulty product.
510;tehnika;3;Mogu li da platim na rate za ovaj laptop?;Могу я оплатить этот ноутбук в рассрочку?;Can I pay for this laptop in installments?
